"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 371",https://www.congress.gov/bill/114th-congress/senate-bill/371,"114th Congress (2015-2016)",,"A bill to remove a limitation on a prohibition relating to permits for discharges incidental to normal operation of vessels.","Sen. Murkowski, Lisa [R-AK]",02/04/2015,,,,6,"Senate - Environment and Public Works",02/04/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 293",https://www.congress.gov/bill/114th-congress/senate-bill/293,"114th Congress (2015-2016)",,"A bill to amend the Endangered Species Act of 1973 to establish a procedure for approval of certain settlements.","Sen. Cornyn, John [R-TX]",01/28/2015,,,,17,"Senate - Environment and Public Works",05/06/2015,"Committee on Environment and Public Works. Hearings held."
"S. 292",https://www.congress.gov/bill/114th-congress/senate-bill/292,"114th Congress (2015-2016)",,"21st Century Endangered Species Transparency Act","Sen. Cornyn, John [R-TX]",01/28/2015,,,,14,"Senate - Environment and Public Works",05/06/2015,"Committee on Environment and Public Works. Hearings held."
"S. 234",https://www.congress.gov/bill/114th-congress/senate-bill/234,"114th Congress (2015-2016)",,"Regulatory Fairness Act of 2015","Sen. Vitter, David [R-LA]",01/22/2015,,,,9,"Senate - Environment and Public Works",01/22/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 225",https://www.congress.gov/bill/114th-congress/senate-bill/225,"114th Congress (2015-2016)",,"Hunting, Fishing, and Recreational Shooting Protection Act","Sen. Thune, John [R-SD]",01/21/2015,,,,1,"Senate - Environment and Public Works",01/21/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 176",https://www.congress.gov/bill/114th-congress/senate-bill/176,"114th Congress (2015-2016)",,"Water in the 21st Century Act","Sen. Boxer, Barbara [D-CA]",01/13/2015,,,,2,"Senate - Environment and Public Works",01/13/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 156",https://www.congress.gov/bill/114th-congress/senate-bill/156,"114th Congress (2015-2016)",,"Energy Consumers Relief Act of 2015","Sen. Cassidy, Bill [R-LA]",01/13/2015,,,,1,"Senate - Environment and Public Works",01/13/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 120",https://www.congress.gov/bill/114th-congress/senate-bill/120,"114th Congress (2015-2016)",,"A bill to amend the Water Resources Development Act of 2000 to authorize the Central Everglades Planning Project, Florida.","Sen. Nelson, Bill [D-FL]",01/08/2015,,,,1,"Senate - Environment and Public Works",01/08/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 112",https://www.congress.gov/bill/114th-congress/senate-bill/112,"114th Congress (2015-2016)",,"Common Sense in Species Protection Act of 2015","Sen. Heller, Dean [R-NV]",01/07/2015,,,,0,"Senate - Environment and Public Works",05/06/2015,"Committee on Environment and Public Works. Hearings held."
"S. 110",https://www.congress.gov/bill/114th-congress/senate-bill/110,"114th Congress (2015-2016)",,"Environmental Protection Agency Accountability Act of 2015","Sen. Heller, Dean [R-NV]",01/07/2015,,,,0,"Senate - Environment and Public Works",01/07/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 106",https://www.congress.gov/bill/114th-congress/senate-bill/106,"114th Congress (2015-2016)",,"Ending Legacy Lawsuit Abuse Act","Sen. Vitter, David [R-LA]",01/07/2015,,,,0,"Senate - Environment and Public Works",01/07/2015,"Read twice and referred to the Committee on Environment and Public Works."
