"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"H.R. 5845",https://www.congress.gov/bill/116th-congress/house-bill/5845,"116th Congress (2019-2020)",,"Break Free From Plastic Pollution Act of 2020","Rep. Lowenthal, Alan S. [D-CA-47]",02/11/2020,,,,41,"House - Energy and Commerce, Ways and Means, Transportation and Infrastructure, Foreign Affairs",02/12/2020,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 5694",https://www.congress.gov/bill/116th-congress/house-bill/5694,"116th Congress (2019-2020)",,"Endangered Species Transparency and Reasonableness Act of 2020","Rep. McClintock, Tom [R-CA-4]",01/28/2020,,,,15,"House - Natural Resources",01/28/2020,"Referred to the House Committee on Natural Resources."
"H.R. 5638",https://www.congress.gov/bill/116th-congress/house-bill/5638,"116th Congress (2019-2020)",,"American Sovereignty and Species Protection Act","Rep. Biggs, Andy [R-AZ-5]",01/16/2020,,,,8,"House - Natural Resources",01/21/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5628",https://www.congress.gov/bill/116th-congress/house-bill/5628,"116th Congress (2019-2020)",,"Clean Water Allotment Modernization Act","Rep. Waltz, Michael [R-FL-6]",01/16/2020,,,,14,"House - Transportation and Infrastructure",01/17/2020,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 5594",https://www.congress.gov/bill/116th-congress/house-bill/5594,"116th Congress (2019-2020)",,"EMPOWERS Act of 2020","Rep. Smith, Jason [R-MO-8]",01/13/2020,,,,8,"House - Natural Resources",01/17/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5591",https://www.congress.gov/bill/116th-congress/house-bill/5591,"116th Congress (2019-2020)",,"Critical Habitat Improvement Act","Rep. Johnson, Mike [R-LA-4]",01/13/2020,,,,8,"House - Natural Resources",01/17/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5589",https://www.congress.gov/bill/116th-congress/house-bill/5589,"116th Congress (2019-2020)",,"Blue Carbon for Our Planet Act","Rep. Bonamici, Suzanne [D-OR-1]",01/13/2020,,,,17,"House - Natural Resources, Science, Space, and Technology, House Administration",01/13/2020,"Referred to the Committee on Natural Resources, and in addition to the Committees on Science, Space, and Technology, and House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.R. 5588",https://www.congress.gov/bill/116th-congress/house-bill/5588,"116th Congress (2019-2020)",,"WHOLE Act of 2020","Rep. Newhouse, Dan [R-WA-4]",01/13/2020,,,,12,"House - Natural Resources",01/17/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5585",https://www.congress.gov/bill/116th-congress/house-bill/5585,"116th Congress (2019-2020)",,"Listing Reform Act","Rep. Olson, Pete [R-TX-22]",01/13/2020,,,,10,"House - Natural Resources",01/17/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5580",https://www.congress.gov/bill/116th-congress/house-bill/5580,"116th Congress (2019-2020)",,"Bring ESA Into the 21st Century Act","Rep. Gosar, Paul A. [R-AZ-4]",01/10/2020,,,,8,"House - Natural Resources",01/16/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5579",https://www.congress.gov/bill/116th-congress/house-bill/5579,"116th Congress (2019-2020)",,"LIST Act of 2020","Rep. Gianforte, Greg [R-MT-At Large]",01/10/2020,,,,9,"House - Natural Resources",01/16/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5557",https://www.congress.gov/bill/116th-congress/house-bill/5557,"116th Congress (2019-2020)",,"Threatened Species Protection 
Improvement Act of 2020","Rep. Buck, Ken [R-CO-4]",01/08/2020,,,,8,"House - Natural Resources",01/15/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5550",https://www.congress.gov/bill/116th-congress/house-bill/5550,"116th Congress (2019-2020)",,"PFAS Safe Disposal Act","Rep. Levin, Andy [D-MI-9]",01/07/2020,,,,1,"House - Energy and Commerce",01/07/2020,"Referred to the House Committee on Energy and Commerce."
"H.R. 5544",https://www.congress.gov/bill/116th-congress/house-bill/5544,"116th Congress (2019-2020)",,"American Innovation and 
Manufacturing Leadership Act of 2020","Rep. Tonko, Paul [D-NY-20]",01/07/2020,,,,19,"House - Energy and Commerce",01/08/2020,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 5540",https://www.congress.gov/bill/116th-congress/house-bill/5540,"116th Congress (2019-2020)",,"PFAS Transparency Act","Rep. Delgado, Antonio [D-NY-19]",01/03/2020,,,,10,"House - Transportation and Infrastructure",01/07/2020,"Referred to the House Committee on Transportation and Infrastructure."
"H.R. 5539",https://www.congress.gov/bill/116th-congress/house-bill/5539,"116th Congress (2019-2020)",,"Clean Water Standards for PFAS Act of 2020","Rep. Pappas, Chris [D-NH-1]",01/03/2020,,,,13,"House - Transportation and Infrastructure",01/06/2020,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 5519",https://www.congress.gov/bill/116th-congress/house-bill/5519,"116th Congress (2019-2020)",,"Atmospheric Climate Intervention Research Act","Rep. McNerney, Jerry [D-CA-9]",12/19/2019,,,,0,"House - Science, Space, and Technology",12/19/2019,"Referred to the House Committee on Science, Space, and Technology."
"H.R. 5513",https://www.congress.gov/bill/116th-congress/house-bill/5513,"116th Congress (2019-2020)",,"Affordable Safe Drinking Water Act of 2019","Rep. Kennedy, Joseph P., III [D-MA-4]",12/19/2019,,,,8,"House - Energy and Commerce, Transportation and Infrastructure",12/20/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 5493",https://www.congress.gov/bill/116th-congress/house-bill/5493,"116th Congress (2019-2020)",,"To prohibit the Director of the United States Fish and Wildlife Service from awarding grants to entities that fund or support gross violations of internationally recognized human rights, and for other purposes.","Rep. Bishop, Rob [R-UT-1]",12/19/2019,,,,11,"House - Natural Resources",01/09/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5467",https://www.congress.gov/bill/116th-congress/house-bill/5467,"116th Congress (2019-2020)",,"LOCAL Act of 2019","Rep. Tipton, Scott  R. [R-CO-3]",12/17/2019,,,,7,"House - Natural Resources",01/08/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5445",https://www.congress.gov/bill/116th-congress/house-bill/5445,"116th Congress (2019-2020)",,"Critical Infrastructure Act of 2019","Rep. Stewart, Chris [R-UT-2]",12/17/2019,,,,8,"House - Natural Resources",01/08/2020,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 5434",https://www.congress.gov/bill/116th-congress/house-bill/5434,"116th Congress (2019-2020)",,"RPM Act of 2019","Rep. McHenry, Patrick T. [R-NC-10]",12/16/2019,,,,53,"House - Energy and Commerce",12/16/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 5416",https://www.congress.gov/bill/116th-congress/house-bill/5416,"116th Congress (2019-2020)",,"National Climate Bank Act","Rep. Dingell, Debbie [D-MI-12]",12/12/2019,,,,4,"House - Energy and Commerce, Financial Services, Ways and Means, Agriculture, Transportation and Infrastructure",12/13/2019,"Referred to the Subcommittee on Railroads, Pipelines, and Hazardous Materials."
"H.R. 5391",https://www.congress.gov/bill/116th-congress/house-bill/5391,"116th Congress (2019-2020)",,"WHERA Act","Rep. Welch, Peter [D-VT-At Large]",12/11/2019,,,,1,"House - Energy and Commerce",12/11/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 5361",https://www.congress.gov/bill/116th-congress/house-bill/5361,"116th Congress (2019-2020)",,"Safe Drinking Water Assistance Act of 2019","Rep. Blunt Rochester, Lisa [D-DE-At Large]",12/09/2019,,,,1,"House - Energy and Commerce, Science, Space, and Technology",12/09/2019,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.R. 5343",https://www.congress.gov/bill/116th-congress/house-bill/5343,"116th Congress (2019-2020)",,"Hazel M. Johnson Memorial Stamp Act","Rep. Rush, Bobby L. [D-IL-1]",12/06/2019,,,,4,"House - Oversight and Reform",12/06/2019,"Referred to the House Committee on Oversight and Reform."
"H.R. 5341",https://www.congress.gov/bill/116th-congress/house-bill/5341,"116th Congress (2019-2020)",,"Discouraging Frivolous Lawsuits Act","Rep. Rice, Tom [R-SC-7]",12/06/2019,,,,30,"House - Transportation and Infrastructure",12/09/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 5340",https://www.congress.gov/bill/116th-congress/house-bill/5340,"116th Congress (2019-2020)",,"Hazel M. Johnson Congressional Gold Medal Act","Rep. Rush, Bobby L. [D-IL-1]",12/06/2019,,,,3,"House - Financial Services, Foreign Affairs",12/06/2019,"Referred to the Committee on Financial Services, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.R. 5256",https://www.congress.gov/bill/116th-congress/house-bill/5256,"116th Congress (2019-2020)",,"FREEZER Trucks Act of 2019","Rep. Clarke, Yvette D. [D-NY-9]",11/22/2019,,,,4,"House - Energy and Commerce, Transportation and Infrastructure",11/25/2019,"Referred to the Subcommittee on Highways and Transit."
"H.R. 5221",https://www.congress.gov/bill/116th-congress/house-bill/5221,"116th Congress (2019-2020)",,"100% Clean Economy Act of 2019","Rep. McEachin, A. Donald [D-VA-4]",11/21/2019,,,,166,"House - Energy and Commerce",11/21/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 5193",https://www.congress.gov/bill/116th-congress/house-bill/5193,"116th Congress (2019-2020)",,"Buy America for Drinking Water Extension Act of 2019","Rep. Bustos, Cheri [D-IL-17]",11/20/2019,,,,14,"House - Energy and Commerce",11/20/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 5176",https://www.congress.gov/bill/116th-congress/house-bill/5176,"116th Congress (2019-2020)",,"Climate Resiliency Service Corps Act of 2019","Rep. Chu, Judy [D-CA-27]",11/19/2019,,,,14,"House - Education and Labor",11/19/2019,"Referred to the House Committee on Education and Labor."
"H.R. 5168",https://www.congress.gov/bill/116th-congress/house-bill/5168,"116th Congress (2019-2020)",,"Pricing Greenhouse Gases Report Act of 2019","Rep. Davis, Danny K. [D-IL-7]",11/19/2019,,,,5,"House - Energy and Commerce",11/19/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 5115",https://www.congress.gov/bill/116th-congress/house-bill/5115,"116th Congress (2019-2020)",,"RECOVER Act","Rep. Cardenas, Tony [D-CA-29]",11/15/2019,,,,2,"House - Energy and Commerce",11/15/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 5095",https://www.congress.gov/bill/116th-congress/house-bill/5095,"116th Congress (2019-2020)",,"Endangered Species Accountability Reform Act","Rep. Luetkemeyer, Blaine [R-MO-3]",11/14/2019,,,,5,"House - Natural Resources",12/03/2019,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 4967",https://www.congress.gov/bill/116th-congress/house-bill/4967,"116th Congress (2019-2020)",,"Chesapeake Watershed Investments for Landscape Defense Act of 2019","Rep. Scott, Robert C. ""Bobby"" [D-VA-3]",10/31/2019,,,,20,"House - Natural Resources, Transportation and Infrastructure",11/20/2019,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 4924",https://www.congress.gov/bill/116th-congress/house-bill/4924,"116th Congress (2019-2020)",,"Smoke Planning and Research Act of 2019","Rep. Eshoo, Anna G. [D-CA-18]",10/30/2019,,,,25,"House - Energy and Commerce, Science, Space, and Technology",11/01/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 4832",https://www.congress.gov/bill/116th-congress/house-bill/4832,"116th Congress (2019-2020)",,"Low-Income Water Customer Assistance Programs Act of 2019","Rep. Fudge, Marcia L. [D-OH-11]",10/23/2019,,,,3,"House - Transportation and Infrastructure, Energy and Commerce, Ways and Means",10/26/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 4831",https://www.congress.gov/bill/116th-congress/house-bill/4831,"116th Congress (2019-2020)",,"National Fish and Wildlife Foundation Reauthorization Act of 2019","Rep. Dingell, Debbie [D-MI-12]",10/23/2019,,,,1,"House - Natural Resources",11/06/2019,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 4737",https://www.congress.gov/bill/116th-congress/house-bill/4737,"116th Congress (2019-2020)",,"Department of Homeland Security   Climate Change Research Act","Rep. Clarke, Yvette D. [D-NY-9]",10/18/2019,,,,2,"House - Homeland Security | Senate - Homeland Security and Governmental Affairs",02/11/2020,"Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs."
"H.R. 4656",https://www.congress.gov/bill/116th-congress/house-bill/4656,"116th Congress (2019-2020)",,"Background Ozone Research Act","Rep. McAdams, Ben [D-UT-4]",10/11/2019,,,,2,"House - Science, Space, and Technology",10/11/2019,"Referred to the House Committee on Science, Space, and Technology."
"H.R. 4611",https://www.congress.gov/bill/116th-congress/house-bill/4611,"116th Congress (2019-2020)",,"Ocean Pollution Reduction Act II","Rep. Peters, Scott H. [D-CA-52]",10/04/2019,,,,4,"House - Transportation and Infrastructure, Natural Resources",10/11/2019,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 4494",https://www.congress.gov/bill/116th-congress/house-bill/4494,"116th Congress (2019-2020)",,"Gray Wolf State Management Act of 2019","Rep. Peterson, Collin C. [D-MN-7]",09/25/2019,,,,8,"House - Natural Resources",10/03/2019,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 4483",https://www.congress.gov/bill/116th-congress/house-bill/4483,"116th Congress (2019-2020)",,"Localizing Authority of Management Plans Act of 2019","Rep. Young, Don [R-AK-At Large]",09/24/2019,,,,8,"House - Natural Resources",10/02/2019,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 4348",https://www.congress.gov/bill/116th-congress/house-bill/4348,"116th Congress (2019-2020)",,"PAW and FIN Conservation Act of 2019","Rep. Grijalva, Raul M. [D-AZ-3]",09/17/2019,,,,101,"House - Natural Resources",01/29/2020,"Subcommittee on Water, Oceans, and Wildlife Discharged."
"H.R. 4341",https://www.congress.gov/bill/116th-congress/house-bill/4341,"116th Congress (2019-2020)",,"Critically Endangered Animals Conservation Act of 2019","Rep. Huffman, Jared [D-CA-2]",09/17/2019,,,,24,"House - Natural Resources",09/24/2019,"Subcommittee Hearings Held."
"H.R. 4340",https://www.congress.gov/bill/116th-congress/house-bill/4340,"116th Congress (2019-2020)",,"SALAMANDER Act of 2019","Rep. Jeffries, Hakeem S. [D-NY-8]",09/17/2019,,,,5,"House - Natural Resources",09/24/2019,"Subcommittee Hearings Held."
"H.R. 4275",https://www.congress.gov/bill/116th-congress/house-bill/4275,"116th Congress (2019-2020)",,"To amend the Federal Water Pollution Control Act to reauthorize the Lake Pontchartrain Basin Restoration Program, and for other purposes.","Rep. Graves, Garret [R-LA-6]",09/10/2019,,,,1,"House - Transportation and Infrastructure | Senate - Environment and Public Works",02/10/2020,"Received in the Senate and Read twice and referred to the Committee on Environment and Public Works."
"H.R. 4266",https://www.congress.gov/bill/116th-congress/house-bill/4266,"116th Congress (2019-2020)",,"Clean Water Through Green Infrastructure Act","Rep. Heck, Denny [D-WA-10]",09/10/2019,,,,12,"House - Transportation and Infrastructure, Science, Space, and Technology",09/11/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 4208",https://www.congress.gov/bill/116th-congress/house-bill/4208,"116th Congress (2019-2020)",,"To amend the Endangered Species Act of 1973 to prohibit treatment of certain non-native, non-indigenous hoofstock born within the borders of the United States as an endangered species, a threatened species, an essential experimental population, or a nonessential experimental population.","Rep. Yoho, Ted S. [R-FL-3]",08/23/2019,,,,1,"House - Natural Resources",08/30/2019,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 4149",https://www.congress.gov/bill/116th-congress/house-bill/4149,"116th Congress (2019-2020)",,"REGION Act","Rep. Dingell, Debbie [D-MI-12]",08/02/2019,,,,1,"House - Energy and Commerce, Agriculture, Transportation and Infrastructure, Science, Space, and Technology",08/29/2019,"Referred to the Subcommittee on Biotechnology, Horticulture, and Research."
"H.R. 4143",https://www.congress.gov/bill/116th-congress/house-bill/4143,"116th Congress (2019-2020)",,"Super Pollutants Act of 2019","Rep. Peters, Scott H. [D-CA-52]",08/02/2019,,,,7,"House - Energy and Commerce, Foreign Affairs, Financial Services",08/05/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 4087",https://www.congress.gov/bill/116th-congress/house-bill/4087,"116th Congress (2019-2020)",,"CLEANUP Act","Rep. Blumenauer, Earl [D-OR-3]",07/26/2019,,,,3,"House - Energy and Commerce, Transportation and Infrastructure",07/29/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 4050",https://www.congress.gov/bill/116th-congress/house-bill/4050,"116th Congress (2019-2020)",,"ZERO WASTE Act","Rep. Omar, Ilhan [D-MN-5]",07/25/2019,,,,11,"House - Energy and Commerce",07/25/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 4044",https://www.congress.gov/bill/116th-congress/house-bill/4044,"116th Congress (2019-2020)",,"Protect and Restore America's Estuaries Act","Rep. Malinowski, Tom [D-NJ-7]",07/25/2019,,,,26,"House - Transportation and Infrastructure",02/10/2020,"Received in the Senate."
"H.R. 4039",https://www.congress.gov/bill/116th-congress/house-bill/4039,"116th Congress (2019-2020)",,"Border Water Infrastructure Improvement Act","Rep. Levin, Mike [D-CA-49]",07/25/2019,,,,3,"House - Transportation and Infrastructure, Energy and Commerce, Foreign Affairs",07/26/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 4033",https://www.congress.gov/bill/116th-congress/house-bill/4033,"116th Congress (2019-2020)",,"Water Justice Act","Rep. Kildee, Daniel T. [D-MI-5]",07/25/2019,,,,1,"House - Energy and Commerce, Budget, Ways and Means, Natural Resources, Agriculture, Transportation and Infrastructure",09/04/2019,"Referred to the Subcommittee on Commodity Exchanges, Energy, and Credit."
"H.R. 4031",https://www.congress.gov/bill/116th-congress/house-bill/4031,"116th Congress (2019-2020)",,"GLRI Act of 2019","Rep. Joyce, David P. [R-OH-14]",07/25/2019,,,,49,"House - Transportation and Infrastructure | Senate - Environment and Public Works",02/10/2020,"Received in the Senate and Read twice and referred to the Committee on Environment and Public Works."
"H.R. 4014",https://www.congress.gov/bill/116th-congress/house-bill/4014,"116th Congress (2019-2020)",,"Fracturing Responsibility and Awareness of Chemicals Act of 2019","Rep. DeGette, Diana [D-CO-1]",07/25/2019,,,,26,"House - Energy and Commerce",07/25/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 4007",https://www.congress.gov/bill/116th-congress/house-bill/4007,"116th Congress (2019-2020)",,"FRESHER Act of 2019","Rep. Cartwright, Matt [D-PA-8]",07/25/2019,,,,56,"House - Transportation and Infrastructure",07/26/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 4006",https://www.congress.gov/bill/116th-congress/house-bill/4006,"116th Congress (2019-2020)",,"Closing Loopholes and Ending Arbitrary and Needless Evasion of Regulations Act of 2019","Rep. Cartwright, Matt [D-PA-8]",07/25/2019,,,,56,"House - Energy and Commerce",07/25/2019,"Referred to the House Committee on Energy and Commerce."
"H.R. 3969",https://www.congress.gov/bill/116th-congress/house-bill/3969,"116th Congress (2019-2020)",,"SOS 2.0 Act","Rep. Bonamici, Suzanne [D-OR-1]",07/25/2019,,,,34,"House - Transportation and Infrastructure, Natural Resources, Ways and Means, Foreign Affairs, Energy and Commerce, Science, Space, and Technology, Agriculture",08/29/2019,"Referred to the Subcommittee on Conservation and Forestry."
"H.R. 3949",https://www.congress.gov/bill/116th-congress/house-bill/3949,"116th Congress (2019-2020)",,"Safe Drinking Water in Playgrounds and Parks Act","Rep. Meng, Grace [D-NY-6]",07/24/2019,,,,0,"House - Energy and Commerce",07/25/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 3923",https://www.congress.gov/bill/116th-congress/house-bill/3923,"116th Congress (2019-2020)",,"Environmental Justice Act of 2019","Rep. Ruiz, Raul [D-CA-36]",07/23/2019,,,,1,"House - Energy and Commerce, Natural Resources, Transportation and Infrastructure, Judiciary",08/15/2019,"Referred to the Subcommittee on the Constitution, Civil Rights, and Civil Liberties."
"H.R. 3894",https://www.congress.gov/bill/116th-congress/house-bill/3894,"116th Congress (2019-2020)",,"Great Lakes Water Protection Act","Rep. Lipinski, Daniel [D-IL-3]",07/23/2019,,,,1,"House - Transportation and Infrastructure",07/24/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 3844",https://www.congress.gov/bill/116th-congress/house-bill/3844,"116th Congress (2019-2020)",,"Farmer Fairness Act","Rep. Khanna, Ro [D-CA-17]",07/18/2019,,,,3,"House - Transportation and Infrastructure",07/19/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 3817",https://www.congress.gov/bill/116th-congress/house-bill/3817,"116th Congress (2019-2020)",,"Protect Against Paraquat Act","Rep. Velazquez, Nydia M. [D-NY-7]",07/17/2019,,,,15,"House - Agriculture, Energy and Commerce",08/09/2019,"Referred to the Subcommittee on Biotechnology, Horticulture, and Research."
"H.R. 3747",https://www.congress.gov/bill/116th-congress/house-bill/3747,"116th Congress (2019-2020)",,"On or Under Act","Rep. Neguse, Joe [D-CO-2]",07/12/2019,,,,1,"House - Natural Resources, Energy and Commerce, Transportation and Infrastructure",07/30/2019,"Referred to the Subcommittee on Energy and Mineral Resources."
"H.R. 3742",https://www.congress.gov/bill/116th-congress/house-bill/3742,"116th Congress (2019-2020)",,"Recovering America's Wildlife Act of 2019","Rep. Dingell, Debbie [D-MI-12]",07/12/2019,,,,174,"House - Natural Resources, Budget",12/05/2019,"Ordered to be Reported (Amended) by the Yeas and Nays: 26 - 6."
"H.R. 3677",https://www.congress.gov/bill/116th-congress/house-bill/3677,"116th Congress (2019-2020)",,"National Opportunity for Lead Exposure Accountability and Deterrence Act of 2017","Rep. Kildee, Daniel T. [D-MI-5]",07/10/2019,,,,0,"House - Energy and Commerce",07/11/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 3671",https://www.congress.gov/bill/116th-congress/house-bill/3671,"116th Congress (2019-2020)",,"Federal Permitting Reform and Jobs Act","Rep. Armstrong, Kelly [R-ND-At Large]",07/10/2019,,,,3,"House - Natural Resources",07/25/2019,"Referred to the Subcommittee on Energy and Mineral Resources."
"H.R. 3616",https://www.congress.gov/bill/116th-congress/house-bill/3616,"116th Congress (2019-2020)",,"Clean Water Standards for PFAS Act of 2019","Rep. Pappas, Chris [D-NH-1]",07/02/2019,,,,3,"House - Transportation and Infrastructure",07/03/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 3604",https://www.congress.gov/bill/116th-congress/house-bill/3604,"116th Congress (2019-2020)",,"Safe Hydration is an American Right in Energy Development Act of 2019","Rep. Schakowsky, Janice D. [D-IL-9]",06/28/2019,,,,26,"House - Energy and Commerce",07/01/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 3541",https://www.congress.gov/bill/116th-congress/house-bill/3541,"116th Congress (2019-2020)",,"Coastal State Climate Preparedness Act of 2019","Rep. Carbajal, Salud O. [D-CA-24]",06/27/2019,,,,9,"House - Natural Resources",11/15/2019,"Placed on the Union Calendar, Calendar No. 237."
"H.R. 3521",https://www.congress.gov/bill/116th-congress/house-bill/3521,"116th Congress (2019-2020)",,"Wastewater Infrastructure Workforce Investment Act","Rep. Stanton, Greg [D-AZ-9]",06/26/2019,,,,0,"House - Transportation and Infrastructure",06/27/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 3399",https://www.congress.gov/bill/116th-congress/house-bill/3399,"116th Congress (2019-2020)",,"To amend the Nutria Eradication and Control Act of 2003 to include California in the program, and for other purposes.","Rep. Harder, Josh [D-CA-10]",06/21/2019,,,,7,"House - Natural Resources",01/29/2020,"Subcommittee on Water, Oceans, and Wildlife Discharged."
"H.R. 3382",https://www.congress.gov/bill/116th-congress/house-bill/3382,"116th Congress (2019-2020)",,"Community Cleanup Act","Rep. Carter, Earl L. ""Buddy"" [R-GA-1]",06/20/2019,,,,1,"House - Energy and Commerce, Transportation and Infrastructure",06/21/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 3363",https://www.congress.gov/bill/116th-congress/house-bill/3363,"116th Congress (2019-2020)",,"Sewage Treatment Overflow Prevention through Community Sanitation Outreach Act of 2019","Rep. Moulton, Seth [D-MA-6]",06/19/2019,,,,1,"House - Transportation and Infrastructure",06/20/2019,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 3297",https://www.congress.gov/bill/116th-congress/house-bill/3297,"116th Congress (2019-2020)",,"Harmful Algal Bloom Essential Forecasting Act","Rep. Rooney, Francis [R-FL-19]",06/14/2019,,,,12,"House - Science, Space, and Technology, Natural Resources",06/24/2019,"Referred to the Subcommittee on Water, Oceans, and Wildlife."
"H.R. 3282",https://www.congress.gov/bill/116th-congress/house-bill/3282,"116th Congress (2019-2020)",,"Carbon Capture Prize Act","Rep. Meng, Grace [D-NY-6]",06/13/2019,,,,18,"House - Science, Space, and Technology",06/14/2019,"Referred to the Subcommittee on Energy."
"H.R. 3254",https://www.congress.gov/bill/116th-congress/house-bill/3254,"116th Congress (2019-2020)",,"PIPE Act","Rep. Delgado, Antonio [D-NY-19]",06/13/2019,,,,8,"House - Transportation and Infrastructure, Energy and Commerce",06/14/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 3237",https://www.congress.gov/bill/116th-congress/house-bill/3237,"116th Congress (2019-2020)",,"Platte River Recovery Implementation Program Extension Act","Rep. Neguse, Joe [D-CO-2]",06/12/2019,,,,10,"House - Natural Resources",07/25/2019,"Subcommittee Hearings Held."
"H.R. 3204",https://www.congress.gov/bill/116th-congress/house-bill/3204,"116th Congress (2019-2020)",,"Nogales Wastewater Fairness Act","Rep. Grijalva, Raul M. [D-AZ-3]",06/11/2019,,,,1,"House - Transportation and Infrastructure",06/11/2019,"Referred to the House Committee on Transportation and Infrastructure."
"H.R. 3100",https://www.congress.gov/bill/116th-congress/house-bill/3100,"116th Congress (2019-2020)",,"Challenges & Prizes for Climate Act of 2019","Rep. Lipinski, Daniel [D-IL-3]",06/05/2019,,,,12,"House - Science, Space, and Technology",06/05/2019,"Referred to the Subcommittee on Energy."
"H.R. 3001",https://www.congress.gov/bill/116th-congress/house-bill/3001,"116th Congress (2019-2020)",,"Quiet Communities Act of 2019","Rep. Meng, Grace [D-NY-6]",05/23/2019,,,,40,"House - Energy and Commerce, Transportation and Infrastructure",05/24/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 2918",https://www.congress.gov/bill/116th-congress/house-bill/2918,"116th Congress (2019-2020)",,"Extinction Prevention Act of 2019","Rep. Grijalva, Raul M. [D-AZ-3]",05/22/2019,,,,26,"House - Natural Resources",09/24/2019,"Subcommittee Hearings Held."
"H.R. 2800",https://www.congress.gov/bill/116th-congress/house-bill/2800,"116th Congress (2019-2020)",,"PFAS Monitoring Act of 2019","Rep. Slotkin, Elissa [D-MI-8]",05/16/2019,,,,5,"House - Energy and Commerce",05/17/2019,"Referred to the Subcommittee on Environment and Climate Change."
"H.R. 2795",https://www.congress.gov/bill/116th-congress/house-bill/2795,"116th Congress (2019-2020)",,"Wildlife Corridors Conservation Act of 2019","Rep. Beyer, Donald S., Jr. [D-VA-8]",05/16/2019,,,,11,"House - Natural Resources, Agriculture, Armed Services, Transportation and Infrastructure",01/29/2020,"Subcommittee on Water, Oceans, and Wildlife Discharged."
